lastfirst,fullname,first_name,last_name,districtnumber,officeaddress,districtofficephone,faxnumber,emailaddresspublic
"Adams, Roy Daryl",Roy Daryl Adams,Roy Daryl,Adams,62,"P. O. Box 217
Jackson, LA 70748",(225) 634-7470,(225) 634-7477,hse062@legis.la.gov
"Amedée, Beryl",Beryl A. Amedée,Beryl,Amedee,51,"4266 W. Main Street
Suite 300
Gray, LA  70359-3114",(985) 858-2967,(985) 858-2968,amedeeb@legis.la.gov
"Bacala, Tony",Tony Bacala,Tony,Bacala,59,"15482 Airline Hwy.

Prairieville, LA 70769",(225) 677-8023,(225) 677-8022,bacalat@legis.la.gov
"Bagley, Larry A.","Lawrence A. ""Larry"" Bagley",Larry,Bagley,7,"671 Hwy. 171
Suite E
Stonewall, LA 71078",(318) 925-9588,(318) 925-9590,bagleyl@legis.la.gov
"Bamburg, Jr., Dennis","Dennis Bamburg, Jr.",Dennis,Bamburg,5,"1619 Jimmie Davis Hwy
Bossier City, LA  71112",(318) 588-2014,,hse005@legis.la.gov
"Bayham, Jr., Michael Robert","Michael Robert ""Mike"" Bayham, Jr.",Mike,Bayham,103,"100 Port Boulevard
Suite 40
Chalmette, LA 70043    ",(504) 512-3628,,hse103@legis.la.gov
"Beaullieu, IV, Gerald ""Beau""","Gerald ""Beau"" Beaullieu, IV",Beau,Beaullieu,48,"209 West Main Street
4th Floor, Suite 403
New Iberia, LA 70560",(337) 373-4051,(337) 373-4053,hse048@legis.la.gov
"Berault, Stephanie Hunter",Stephanie Hunter Berault,Stephanie,Berault,76,"1808 Front Street
Suite 204
Slidell, LA 70458",(985) 640-9795,,hse076@legis.la.gov
"Billings, Beth Anne",Beth Anne Billings,Beth,Billings,56,"104 Campus Drive East
Suit 201
Destrehan, LA 70047",(985) 764-0203,,hse056@legis.la.gov
"Bourriaque, Ryan",Ryan  Bourriaque,Ryan,Bourriaque,47,"122 North State Street
Suite 100
Abbeville, LA 70510",(337) 893-5035,(337) 740-5035,hse047@legis.la.gov
"Boyd, Delisha",Delisha Boyd,Delisha,Boyd,102,"3401 General De Gaulle Drive
Suite 5076
New Orleans, LA  70114",(504) 223-3077,(504) 814-7921,hse102@legis.la.gov
"Boyer, Chad Michael",Chad Michael Boyer,Chad,Boyer,46,"Physical Address:
110 North Main Street
Breaux Bridge, LA 70517 

Mailing Address:
P. O. Box 94
Breaux Bridge, LA 70517",(337) 332-3331 ,,hse046@legis.la.gov
"Brass, Ken","Kendricks ""Ken"" Brass",Ken,Brass,58,"22140 Highway 20
Suite C
Vacherie, LA 70090",(225) 265-9005,(225) 265-9006,brassk@legis.la.gov
"Braud, Jacob",Jacob Braud,Jacob,Braud,105,"8114 Hwy 23
Suite 103
Belle Chasse, LA 70037",(504) 230-2360,,hse105@legis.la.gov
"Brown, Chad",Chad Brown,Chad,Brown,60,"57835 Plaquemine Street 
Plaquemine, LA 70764",(225) 687-2410,(225) 687-6272,brownc@legis.la.gov
"Bryant, Marcus Anthony",Marcus Anthony Bryant,Marcus,Bryant,96,"209 West Main Street
Suite 405
New Iberia, LA 70560",(337) 373-9380,(337) 373-9382,hse096@legis.la.gov
"Butler, Rhonda Gaye",Rhonda Gaye Butler,Rhonda,Butler,38,"5592 Vidrine Road
Ville Platte, LA 70586",(337) 363-3900 ,(337) 363-3903,hse038@legis.la.gov
"Carlson, Josh",Josh Carlson,Josh,Carlson,43,"Physical Address: 
1602 W. Pinhook Road 
Suite 202 
Lafayette, LA 70508

Mailing Address:
P. O. Box 81175 
Lafayette, LA 70598",(337) 501-5611,,hse043@legis.la.gov
"Carpenter, Barbara",Barbara W. Carpenter,Barbara,Carpenter,63,"1975 Harding Blvd.
Baton Rouge, LA 70807",(225) 771-5674,(225) 771-5673,carpenterb@legis.la.gov
"Carrier, R. Dewith",R. Dewith Carrier,Dewith,Carrier,32,"P. O. Box 593
Oakdale, LA 71463",(318) 335-0206,(318) 335-0208,hse032@legis.la.gov
"Carter, Robby",Robby Carter,Robert,Carter,72,"225 NW Central Avenue 
Amite, LA 70422",(985) 748-2245,(985) 748-2247,carterr@legis.la.gov
"Carter, Sr., Wilford","Wilford Dan Carter, Sr.",Wilford,Carter,34,"1025 Mill Street
Lake Charles, LA 70601",(337) 491-2320,(337) 491-2020,hse034@legis.la.gov
"Carver, Kim",Kim Carver,Kim,Carver,89,"1200 W. Causeway Approach
Suite 20
Mandeville, LA 70471",(985) 222-2638,,hse089@legis.la.gov
"Chassion, Tehmi Jahi",Tehmi Jahi Chassion,Tehmi,Chassion,44,,,,hse044@legis.la.gov
"Chenevert, Emily",Emily Chenevert,Emily,Chenevert,66,"111 Founders Drive
Suite 100
Baton Rouge, LA 70810",,,hse066@legis.la.gov
"Coates, Kimberly Landry",Kimberly Landry Coates,Kimberly,Coates,73,"P. O. Box 2203
Ponchatoula, LA 70454",(985) 551-1424,,hse073@legis.la.gov
