lastfirst,fullname,first_name,last_name,districtnumber,officeaddress,districtofficephone,faxnumber,emailaddresspublic
"Abraham, Mark",Mark Abraham,Mark,Abraham,25,"130 Jamestown Road 
Lake Charles, LA  70605",(337)475-3016,(337)475-3018,abrahamm@legis.la.gov
"Allain, Robert",Robert Allain,Robert,Allain,21,"600 Main Street
Franklin, LA  70538",(337)828-9107 ,(337)828-9108,sen21@legis.la.gov
"Barrow, Regina",Regina Ashford Barrow,Regina,Barrow,15,"4811 Harding Blvd
Baton Rouge, LA 70811",(225)359-9400,(225)359-9402,barrowr@legis.la.gov
"Bass, Adam",J. Adam Bass,Adam,Bass,36,"2123 Shed Road
Suite 5
Bossier City, LA  71111",(318)741-2812,,sen36@legis.la.gov
"Boudreaux, Gerald",Gerald Boudreaux,Gerald,Boudreaux,24,"P.O. Box 91245
Lafayette, LA  70509",(337)267-7520,(337)267-7522,boudreauxg@legis.la.gov
"Bouie, Joseph",Joseph Bouie Jr.,Joseph,Bouie,3,"6305 Elysian Fields Ave.
Suite 400
New Orleans, LA  70122",(504)286-1033,(504)286-1035,bouiej@legis.la.gov
"Carter, Gary",Gary M. Carter Jr.,Gary,Carter,7,"2401 Westbend Parkway
Suite 3071
New Orleans, LA 70114
",(504) 361-6600,(504) 361-6603,carterg@legis.la.gov
"Cathey, Stewart Jr.",Stewart Cathey Jr.,Stewart,Cathey,33,"209 North Park Drive
Monroe, LA  71203",(318)582-5524,(318)582-5526,sen33@legis.la.gov
"Cloud, Heather",Heather Miley Cloud,Heather,Cloud,28,"P.O Box 269
Turkey Creek, LA  70585",(337)461-2595,,sen28@legis.la.gov
"Connick, Patrick",Patrick Connick,Patrick,Connick,8,"5201 Westbank Expressway
Suite 315
Marrero, LA  70072",(504)371-0240,(504)347-4526,connickp@legis.la.gov
"Coussan, Jean-Paul",Jean-Paul P. Coussan,Jean-Paul,Coussan,23,"101 W. Farrel Road
Bldg. 5, Suite 100
Lafayette, LA  70508",,(337)993-7432,sen23@legis.la.gov
"Duplessis, Royce",Royce Duplessis,Royce,Duplessis,5,"643 Magazine Street
Suite 302
New Orleans, LA  70130",(504) 568-2740,(504) 568-2744,SEN05@legis.la.gov
"Edmonds, Rick",Rick Edmonds,Rick,Edmonds,6,"13440 Magnolia Square
Suite D1
Baton Rouge, LA  70818",(225)272-1324,,sen06@legis.la.gov
"Fesi, Michael ""Big Mike""","Michael ""Big Mike"" Fesi",Michael,Fesi,20,"1950 South Van Avenue
Houma, LA  70363",(985)858-2979,(985)873-2069,sen20@legis.la.gov
"Fields, Cleo",Cleo Fields,Cleo,Fields,14,"2147 Government Street
Baton Rouge, LA  70806",(225)342-9514,,sen14@legis.la.gov
"Foil, Franklin J.",Franklin J. Foil,Franklin,Foil,16,"412 N. 4th St.
Suite 230
Baton Rouge, LA  70802",(225)342-6777,(225)342-6785,foilf@legis.la.gov
"Harris, Jimmy",Jimmy Harris,Jimmy,Harris,4,"2021 Lakeshore Drive
Suite 204
New Orleans, LA  70122",(504)286-1960,(504)286-1961,harrisj@legis.la.gov
